reads,inflation_factor,qsim_g1,qsim_g2,alpha_c1,simruns,ncond
10,1,0.2,0.2,1,1000,1
10,1,0.2,0.5,1,1000,1
10,1,0.2,0.8,1,1000,1
10,1,0.5,0.2,1,1000,1
10,1,0.5,0.5,1,1000,1
10,1,0.5,0.8,1,1000,1
10,1,0.8,0.2,1,1000,1
10,1,0.8,0.5,1,1000,1
10,1,0.8,0.8,1,1000,1
100,1,0.2,0.2,1,1000,1
100,1,0.2,0.5,1,1000,1
100,1,0.2,0.8,1,1000,1
100,1,0.5,0.2,1,1000,1
100,1,0.5,0.5,1,1000,1
100,1,0.5,0.8,1,1000,1
100,1,0.8,0.2,1,1000,1
100,1,0.8,0.5,1,1000,1
100,1,0.8,0.8,1,1000,1
10,1000,0.2,0.2,1,1000,1
10,1000,0.2,0.5,1,1000,1
10,1000,0.2,0.8,1,1000,1
10,1000,0.5,0.2,1,1000,1
10,1000,0.5,0.5,1,1000,1
10,1000,0.5,0.8,1,1000,1
10,1000,0.8,0.2,1,1000,1
10,1000,0.8,0.5,1,1000,1
10,1000,0.8,0.8,1,1000,1
100,1000,0.2,0.2,1,1000,1
100,1000,0.2,0.5,1,1000,1
100,1000,0.2,0.8,1,1000,1
100,1000,0.5,0.2,1,1000,1
100,1000,0.5,0.5,1,1000,1
100,1000,0.5,0.8,1,1000,1
100,1000,0.8,0.2,1,1000,1
100,1000,0.8,0.5,1,1000,1
100,1000,0.8,0.8,1,1000,1
