comparison,FEATURE_ID,c1_num_reps,counts_c1_g1_rep1,counts_c1_g2_rep1,counts_c1_both_rep1,counts_c1_g1_rep2,counts_c1_g2_rep2,counts_c1_both_rep2,counts_c1_g1_rep3,counts_c1_g2_rep3,counts_c1_both_rep3,prior_c1_g1,prior_c1_g2,c1_flag_analyze,c2_num_reps,counts_c2_g1_rep1,counts_c2_g2_rep1,counts_c2_both_rep1,counts_c2_g1_rep2,counts_c2_g2_rep2,counts_c2_both_rep2,counts_c2_g1_rep3,counts_c2_g2_rep3,counts_c2_both_rep3,prior_c2_g1,prior_c2_g2,c2_flag_analyze
line,fusion_id,3,52,99,100,45,49,79,40,98,76,0.5,0.8,1,3,48,88,77,54,98,45,59,80,79,0.5,0.8,1
line,fusion_id,3,50,106,55,39,91,85,51,74,62,0.5,0.8,1,3,67,83,82,57,82,66,44,67,75,0.5,0.8,1
line,fusion_id,3,37,100,45,42,75,76,80,122,82,0.5,0.8,1,3,49,60,84,64,83,61,54,91,64,0.5,0.8,1
line,fusion_id,3,45,66,77,39,92,58,58,81,71,0.5,0.8,1,3,67,104,69,65,78,74,37,45,58,0.5,0.8,1
line,fusion_id,3,51,61,85,31,69,82,38,99,94,0.5,0.8,1,3,51,63,69,50,93,54,55,68,85,0.5,0.8,1
line,fusion_id,3,36,94,49,56,86,73,41,78,39,0.5,0.8,1,3,43,80,60,43,65,60,44,74,73,0.5,0.8,1
line,fusion_id,3,35,107,87,58,65,84,41,72,43,0.5,0.8,1,3,65,57,65,38,84,74,62,111,42,0.5,0.8,1
line,fusion_id,3,45,100,83,47,100,81,44,73,59,0.5,0.8,1,3,50,75,66,64,72,61,51,105,68,0.5,0.8,1
line,fusion_id,3,42,99,72,33,79,66,38,90,80,0.5,0.8,1,3,38,103,92,33,75,52,46,90,99,0.5,0.8,1
line,fusion_id,3,53,83,87,49,54,58,54,77,87,0.5,0.8,1,3,35,87,93,38,78,43,67,71,65,0.5,0.8,1
line,fusion_id,3,43,97,80,79,72,69,40,56,66,0.5,0.8,1,3,42,104,88,56,75,72,27,77,56,0.5,0.8,1
line,fusion_id,3,48,75,74,51,79,51,61,93,81,0.5,0.8,1,3,42,87,81,54,73,80,65,67,78,0.5,0.8,1
line,fusion_id,3,47,51,59,49,111,66,56,88,67,0.5,0.8,1,3,44,67,74,41,65,65,49,84,57,0.5,0.8,1
line,fusion_id,3,43,60,97,53,69,69,46,73,68,0.5,0.8,1,3,30,73,50,62,83,70,72,89,56,0.5,0.8,1
line,fusion_id,3,35,87,50,40,111,63,54,96,45,0.5,0.8,1,3,45,71,69,50,101,85,45,86,82,0.5,0.8,1
line,fusion_id,3,64,49,91,51,71,91,46,84,74,0.5,0.8,1,3,54,115,66,66,67,66,48,95,69,0.5,0.8,1
line,fusion_id,3,53,66,69,66,81,56,70,81,61,0.5,0.8,1,3,51,62,68,50,99,57,48,81,85,0.5,0.8,1
line,fusion_id,3,57,73,59,53,78,71,39,101,66,0.5,0.8,1,3,43,104,73,44,78,79,55,86,78,0.5,0.8,1
line,fusion_id,3,43,79,105,55,93,33,36,76,71,0.5,0.8,1,3,55,70,59,65,85,64,35,80,40,0.5,0.8,1
line,fusion_id,3,49,87,82,33,56,62,26,69,70,0.5,0.8,1,3,62,74,80,40,94,55,54,81,76,0.5,0.8,1
line,fusion_id,3,53,61,53,43,75,66,57,92,55,0.5,0.8,1,3,62,88,55,31,73,89,41,81,71,0.5,0.8,1
line,fusion_id,3,20,90,63,51,118,57,61,95,63,0.5,0.8,1,3,57,64,84,46,84,57,67,58,84,0.5,0.8,1
line,fusion_id,3,49,81,57,41,117,77,51,79,71,0.5,0.8,1,3,42,77,81,42,62,61,50,84,78,0.5,0.8,1
line,fusion_id,3,42,73,67,58,88,57,39,72,72,0.5,0.8,1,3,67,58,76,48,71,66,42,90,67,0.5,0.8,1
line,fusion_id,3,43,97,54,39,93,40,50,89,92,0.5,0.8,1,3,47,72,49,52,85,51,64,113,75,0.5,0.8,1
line,fusion_id,3,57,80,64,45,60,83,54,100,67,0.5,0.8,1,3,49,68,87,48,67,103,48,62,84,0.5,0.8,1
line,fusion_id,3,47,69,58,56,93,63,46,110,87,0.5,0.8,1,3,67,94,87,57,79,69,60,67,80,0.5,0.8,1
line,fusion_id,3,60,72,66,36,73,60,68,70,71,0.5,0.8,1,3,59,100,87,45,77,51,45,67,63,0.5,0.8,1
line,fusion_id,3,58,129,59,49,88,101,58,85,87,0.5,0.8,1,3,60,88,82,39,85,50,41,87,77,0.5,0.8,1
line,fusion_id,3,50,104,68,45,77,78,40,87,70,0.5,0.8,1,3,60,54,48,35,54,62,45,72,54,0.5,0.8,1
line,fusion_id,3,46,78,66,59,73,74,43,64,93,0.5,0.8,1,3,48,92,64,48,71,75,53,90,69,0.5,0.8,1
line,fusion_id,3,64,95,77,34,73,71,63,76,52,0.5,0.8,1,3,39,70,61,41,75,64,53,61,40,0.5,0.8,1
line,fusion_id,3,57,85,70,61,82,59,54,79,58,0.5,0.8,1,3,46,81,71,58,94,69,50,75,55,0.5,0.8,1
line,fusion_id,3,51,75,76,42,74,59,45,79,56,0.5,0.8,1,3,55,77,67,42,81,86,46,72,64,0.5,0.8,1
line,fusion_id,3,54,107,68,52,86,87,63,87,64,0.5,0.8,1,3,47,64,33,64,100,49,40,85,66,0.5,0.8,1
