comparison,FEATURE_ID,c1_num_reps,c2_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,H3_independence_Bayes_evidence,g1_c1_sampleprop,g1_c1_theta,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_theta,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,alpha1_postmean,alpha2_postmean,c1_flag_analyze,c2_flag_analyze
line,fusion_id,3,3,224,217,90,229,277,103,0.8,0.8,0.8,0.8,0.3307,0.5079,0.5072,0.4342,0.5783,0.8307,0,0.4526,0.4574,0.3889,0.5316,0.222,0,0.9881,1.0925,1,1
line,fusion_id,3,3,218,221,99,251,269,117,0.8,0.8,0.8,0.8,0.7433,0.4966,0.4969,0.4303,0.5618,0.936,0,0.4827,0.4828,0.4201,0.5455,0.606,0,1.0086,1.0372,1,1
line,fusion_id,3,3,184,225,100,237,231,113,0.8,0.8,0.8,0.8,0.3127,0.4499,0.4563,0.3897,0.5268,0.2033,0,0.5064,0.5062,0.4349,0.5749,0.8507,0,1.0948,0.9902,1,1
line,fusion_id,3,3,210,260,101,269,278,112,0.8,0.8,0.8,0.8,0.4387,0.4468,0.454,0.3867,0.5295,0.2087,0,0.4918,0.4926,0.428,0.5558,0.826,0,1.1001,1.0172,1,1
line,fusion_id,3,3,254,208,153,233,257,134,0.8,0.8,0.8,0.8,0.182,0.5498,0.5487,0.4678,0.6221,0.206,0,0.4755,0.4773,0.4013,0.5505,0.5387,0,0.909,1.0498,1,1
line,fusion_id,3,3,286,212,115,281,203,122,0.8,0.8,0.8,0.8,0.8813,0.5743,0.5676,0.5012,0.6297,0.0453,1,0.5806,0.5747,0.5106,0.6344,0.0253,1,0.8742,0.8615,1,1
line,fusion_id,3,3,219,279,93,275,251,134,0.8,0.8,0.8,0.8,0.1413,0.4398,0.4486,0.3816,0.5211,0.1487,0,0.5228,0.5213,0.4502,0.5896,0.536,0,1.1122,0.9606,1,1
line,fusion_id,3,3,233,257,103,258,295,135,0.8,0.8,0.8,0.8,0.886,0.4755,0.4796,0.4001,0.5622,0.6113,0,0.4665,0.4713,0.3885,0.5535,0.4827,0,1.0455,1.0634,1,1
line,fusion_id,3,3,229,228,123,227,212,133,0.8,0.8,0.8,0.8,0.764,0.5011,0.5016,0.4326,0.5738,0.9953,0,0.5171,0.5157,0.445,0.5843,0.6447,0,0.9993,0.9714,1,1
line,fusion_id,3,3,233,242,105,235,282,114,0.8,0.8,0.8,0.8,0.526,0.4905,0.4933,0.4203,0.5638,0.8347,0,0.4545,0.4606,0.3899,0.5319,0.272,0,1.0163,1.0856,1,1
line,fusion_id,3,3,246,246,133,235,218,122,0.8,0.8,0.8,0.8,0.6773,0.5,0.4969,0.4283,0.5682,0.9267,0,0.5188,0.5174,0.4428,0.5896,0.6027,0,1.0089,0.9683,1,1
line,fusion_id,3,3,274,243,107,213,213,121,0.8,0.8,0.8,0.8,0.586,0.53,0.5275,0.4593,0.5958,0.43,0,0.5,0.5005,0.4274,0.5779,0.992,0,0.9484,1.0019,1,1
line,fusion_id,3,3,263,312,168,222,267,108,0.8,0.8,0.8,0.8,0.9753,0.4574,0.4592,0.3892,0.5281,0.2593,0,0.454,0.4579,0.386,0.5284,0.2387,0,1.0886,1.0916,1,1
line,fusion_id,3,3,205,259,111,239,259,136,0.8,0.8,0.8,0.8,0.7167,0.4418,0.4637,0.3753,0.5569,0.4013,0,0.4799,0.4854,0.392,0.5762,0.728,0,1.0807,1.0344,1,1
line,fusion_id,3,3,250,213,86,202,240,112,0.8,0.8,0.8,0.8,0.134,0.54,0.5354,0.4679,0.6033,0.286,0,0.457,0.4608,0.3903,0.5314,0.2733,0,0.9334,1.0852,1,1
line,fusion_id,3,3,199,215,132,245,239,118,0.8,0.8,0.8,0.8,0.6253,0.4807,0.4822,0.411,0.5516,0.6133,0,0.5062,0.5077,0.4361,0.5794,0.8207,0,1.0393,0.9872,1,1
line,fusion_id,3,3,259,228,124,232,217,115,0.8,0.8,0.8,0.8,0.768,0.5318,0.5307,0.4581,0.5986,0.3793,0,0.5167,0.5153,0.4415,0.585,0.682,0,0.9426,0.9724,1,1
line,fusion_id,3,3,289,290,106,226,241,118,0.8,0.8,0.8,0.8,0.79,0.4991,0.4985,0.433,0.5658,0.9627,0,0.4839,0.4845,0.4106,0.5613,0.666,0,1.0053,1.0348,1,1
line,fusion_id,3,3,240,225,102,239,234,108,0.8,0.8,0.8,0.8,0.8413,0.5161,0.5147,0.4461,0.5825,0.6787,0,0.5053,0.5043,0.4345,0.5709,0.8987,0,0.9733,0.9939,1,1
line,fusion_id,3,3,238,257,138,280,194,118,0.8,0.8,0.8,0.8,0.064,0.4808,0.4828,0.4099,0.5551,0.63,0,0.5907,0.5812,0.5068,0.6482,0.0367,1,1.0381,0.8506,1,1
line,fusion_id,3,3,244,231,136,266,247,113,0.8,0.8,0.8,0.8,0.95,0.5137,0.5124,0.4414,0.5845,0.7193,0,0.5185,0.5153,0.4509,0.5819,0.6507,0,0.978,0.972,1,1
line,fusion_id,3,3,213,232,127,262,235,111,0.8,0.8,0.8,0.8,0.3367,0.4787,0.4793,0.4071,0.5485,0.5493,0,0.5272,0.5263,0.4598,0.5918,0.4047,0,1.0452,0.9506,1,1
line,fusion_id,3,3,268,233,125,250,266,120,0.8,0.8,0.8,0.8,0.3293,0.5349,0.5314,0.4588,0.6006,0.3607,0,0.4845,0.4845,0.4203,0.5506,0.6373,0,0.9412,1.034,1,1
line,fusion_id,3,3,236,190,87,252,274,106,0.8,0.8,0.8,0.8,0.2187,0.554,0.5452,0.4717,0.6165,0.2253,0,0.4791,0.4817,0.413,0.5535,0.594,0,0.9155,1.0402,1,1
line,fusion_id,3,3,229,298,133,234,244,120,0.8,0.8,0.8,0.8,0.306,0.4345,0.4388,0.368,0.5136,0.1027,0,0.4895,0.4904,0.419,0.5679,0.7747,0,1.1349,1.0223,1,1
line,fusion_id,3,3,219,259,131,244,224,116,0.8,0.8,0.8,0.8,0.274,0.4582,0.4621,0.387,0.5412,0.3327,0,0.5214,0.5184,0.445,0.5935,0.6127,0,1.0828,0.9664,1,1
line,fusion_id,3,3,226,222,102,199,237,121,0.8,0.8,0.8,0.8,0.4187,0.5045,0.5044,0.4313,0.5763,0.8947,0,0.4564,0.4612,0.3869,0.5339,0.2993,0,0.994,1.0844,1,1
line,fusion_id,3,3,241,198,125,219,187,113,0.8,0.8,0.8,0.8,0.846,0.549,0.5459,0.4754,0.6152,0.1913,0,0.5394,0.535,0.4644,0.6033,0.316,0,0.914,0.9342,1,1
line,fusion_id,3,3,233,255,133,250,233,119,0.8,0.8,0.8,0.8,0.4247,0.4775,0.479,0.4134,0.5475,0.5267,0,0.5176,0.5167,0.4539,0.5815,0.612,0,1.0455,0.9692,1,1
line,fusion_id,3,3,238,186,105,229,229,139,0.8,0.8,0.8,0.8,0.2853,0.5613,0.5532,0.4809,0.6205,0.15,0,0.5,0.5005,0.4311,0.5718,0.992,0,0.9007,1.0016,1,1
line,fusion_id,3,3,273,254,127,227,268,114,0.8,0.8,0.8,0.8,0.2953,0.518,0.5162,0.4359,0.5908,0.6447,0,0.4586,0.4619,0.3918,0.5353,0.2767,0,0.9709,1.0826,1,1
line,fusion_id,3,3,193,210,109,247,240,128,0.8,0.8,0.8,0.8,0.59,0.4789,0.4812,0.4062,0.5567,0.6233,0,0.5072,0.5091,0.4342,0.5815,0.7913,0,1.0415,0.9844,1,1
line,fusion_id,3,3,204,230,139,253,259,131,0.8,0.8,0.8,0.8,0.6873,0.47,0.4714,0.3924,0.5502,0.476,0,0.4941,0.4929,0.4181,0.5658,0.8467,0,1.0628,1.0173,1,1
line,fusion_id,3,3,264,247,117,200,233,143,0.8,0.8,0.8,0.8,0.2813,0.5166,0.5161,0.4485,0.5856,0.6273,0,0.4619,0.4638,0.3952,0.538,0.3193,0,0.9705,1.0786,1,1
line,fusion_id,3,3,243,238,101,241,241,142,0.8,0.8,0.8,0.8,0.938,0.5052,0.5047,0.4347,0.5736,0.8927,0,0.5,0.5006,0.4268,0.5746,0.9927,0,0.993,1.0016,1,1
line,fusion_id,3,3,210,291,114,207,233,153,0.8,0.8,0.8,0.8,0.4093,0.4192,0.4276,0.3594,0.4997,0.0493,1,0.4705,0.47,0.3904,0.5506,0.4287,0,1.161,1.0656,1,1
line,fusion_id,3,3,246,280,124,265,256,135,0.8,0.8,0.8,0.8,0.464,0.4677,0.4707,0.4001,0.5398,0.4087,0,0.5086,0.5077,0.4335,0.5777,0.8107,0,1.0635,0.9874,1,1
line,fusion_id,3,3,249,184,114,224,242,132,0.8,0.8,0.8,0.8,0.1013,0.5751,0.5672,0.4951,0.6374,0.0767,0,0.4807,0.4822,0.4101,0.5529,0.6053,0,0.8753,1.0391,1,1
line,fusion_id,3,3,233,235,84,270,268,115,0.8,0.8,0.8,0.8,0.9453,0.4979,0.4983,0.422,0.57,0.9633,0,0.5019,0.5024,0.426,0.5808,0.968,0,1.0065,0.9983,1,1
line,fusion_id,3,3,230,251,103,248,224,129,0.8,0.8,0.8,0.8,0.3967,0.4782,0.4821,0.4103,0.5503,0.6027,0,0.5254,0.5238,0.4523,0.5949,0.496,0,1.0392,0.9557,1,1
line,fusion_id,3,3,214,238,130,265,201,105,0.8,0.8,0.8,0.8,0.0787,0.4735,0.4751,0.4069,0.5454,0.4813,0,0.5687,0.5615,0.4975,0.626,0.0613,0,1.0542,0.8853,1,1
line,fusion_id,3,3,249,227,118,286,249,134,0.8,0.8,0.8,0.8,0.7807,0.5231,0.5203,0.4573,0.582,0.5353,0,0.5346,0.5328,0.468,0.5961,0.304,0,0.962,0.9381,1,1
line,fusion_id,3,3,198,209,114,254,250,99,0.8,0.8,0.8,0.8,0.7273,0.4865,0.487,0.4137,0.5616,0.7247,0,0.504,0.5039,0.4336,0.5721,0.894,0,1.0295,0.9948,1,1
line,fusion_id,3,3,244,267,115,252,273,129,0.8,0.8,0.8,0.8,0.9827,0.4775,0.4803,0.4086,0.5511,0.6007,0,0.48,0.4813,0.4147,0.5508,0.5693,0,1.0432,1.0407,1,1
line,fusion_id,3,3,248,268,123,212,242,110,0.8,0.8,0.8,0.8,0.8147,0.4806,0.4835,0.408,0.5617,0.65,0,0.467,0.471,0.3944,0.5501,0.4593,0,1.0368,1.0636,1,1
line,fusion_id,3,3,245,243,136,249,233,138,0.8,0.8,0.8,0.8,0.7767,0.502,0.5025,0.4334,0.5724,0.944,0,0.5166,0.5157,0.4437,0.5836,0.656,0,0.9977,0.9714,1,1
line,fusion_id,3,3,231,223,131,209,251,111,0.8,0.8,0.8,0.8,0.3147,0.5088,0.5076,0.4373,0.5745,0.8347,0,0.4543,0.4584,0.3883,0.5303,0.2587,0,0.9873,1.0904,1,1
line,fusion_id,3,3,255,225,121,288,234,97,0.8,0.8,0.8,0.8,0.692,0.5312,0.5278,0.4608,0.5953,0.4087,0,0.5517,0.5467,0.4812,0.6112,0.1667,0,0.9478,0.9122,1,1
line,fusion_id,3,3,195,250,118,238,216,106,0.8,0.8,0.8,0.8,0.088,0.4382,0.4414,0.3773,0.5056,0.0753,0,0.5242,0.5227,0.4583,0.5833,0.462,0,1.1281,0.9572,1,1
line,fusion_id,3,3,226,199,102,265,239,119,0.8,0.8,0.8,0.8,0.9247,0.5318,0.5286,0.4601,0.5959,0.4027,0,0.5258,0.524,0.4585,0.5879,0.4613,0,0.9465,0.955,1,1
line,fusion_id,3,3,233,225,108,258,247,131,0.8,0.8,0.8,0.8,0.998,0.5087,0.5093,0.4368,0.5803,0.8033,0,0.5109,0.5108,0.4412,0.5849,0.7413,0,0.9842,0.9811,1,1
line,fusion_id,3,3,226,251,124,276,224,112,0.8,0.8,0.8,0.8,0.1827,0.4738,0.4729,0.3987,0.5516,0.476,0,0.552,0.5465,0.4662,0.6226,0.25,0,1.0593,0.9135,1,1
line,fusion_id,3,3,247,221,112,239,260,122,0.8,0.8,0.8,0.8,0.334,0.5278,0.5245,0.4596,0.5922,0.4433,0,0.479,0.4793,0.4145,0.5456,0.5247,0,0.9541,1.0448,1,1
line,fusion_id,3,3,288,212,118,209,269,108,0.8,0.8,0.8,0.8,0.0093,0.576,0.5707,0.5045,0.6339,0.038,1,0.4372,0.4435,0.3797,0.5093,0.0947,0,0.8688,1.1233,1,1
line,fusion_id,3,3,210,220,118,190,214,117,0.8,0.8,0.8,0.8,0.7167,0.4884,0.4892,0.4264,0.5527,0.7373,0,0.4703,0.4726,0.4072,0.54,0.4187,0,1.0241,1.0591,1,1
line,fusion_id,3,3,272,273,97,234,285,139,0.8,0.8,0.8,0.8,0.406,0.4991,0.4993,0.4274,0.5722,0.9773,0,0.4509,0.4565,0.3777,0.5353,0.2673,0,1.004,1.0952,1,1
line,fusion_id,3,3,289,227,135,212,245,93,0.8,0.8,0.8,0.8,0.14,0.5601,0.5557,0.472,0.6346,0.1787,0,0.4639,0.4683,0.3897,0.5506,0.41,0,0.8967,1.0696,1,1
line,fusion_id,3,3,276,197,119,236,228,135,0.8,0.8,0.8,0.8,0.1967,0.5835,0.5748,0.4982,0.6458,0.0573,0,0.5086,0.5053,0.4256,0.5828,0.872,0,0.8619,0.9925,1,1
line,fusion_id,3,3,217,239,128,266,266,113,0.8,0.8,0.8,0.8,0.6413,0.4759,0.4787,0.4109,0.5459,0.5213,0,0.5,0.5009,0.4351,0.5667,0.9973,0,1.0463,1.0004,1,1
line,fusion_id,3,3,288,258,93,215,212,110,0.8,0.8,0.8,0.8,0.6667,0.5275,0.5243,0.4572,0.5898,0.4753,0,0.5035,0.5034,0.4296,0.5736,0.9247,0,0.9547,0.9958,1,1
line,fusion_id,3,3,272,200,120,264,238,110,0.8,0.8,0.8,0.8,0.4033,0.5763,0.5673,0.4871,0.643,0.0967,0,0.5259,0.5234,0.4485,0.596,0.524,0,0.8755,0.9568,1,1
line,fusion_id,3,3,215,287,137,230,238,119,0.8,0.8,0.8,0.8,0.2093,0.4283,0.4311,0.3642,0.4983,0.046,1,0.4915,0.4913,0.4238,0.5588,0.8033,0,1.1524,1.02,1,1
line,fusion_id,3,3,197,231,103,247,238,111,0.8,0.8,0.8,0.8,0.3593,0.4603,0.4645,0.3979,0.5326,0.2793,0,0.5093,0.5087,0.4437,0.5744,0.7887,0,1.0767,0.9849,1,1
line,fusion_id,3,3,223,229,112,211,304,124,0.8,0.8,0.8,0.8,0.1013,0.4934,0.4938,0.4235,0.5626,0.8487,0,0.4097,0.4158,0.3555,0.4801,0.0147,1,1.015,1.1887,1,1
line,fusion_id,3,3,221,288,117,272,249,104,0.8,0.8,0.8,0.8,0.1427,0.4342,0.4419,0.3679,0.5228,0.1353,0,0.5221,0.5199,0.4472,0.5891,0.576,0,1.128,0.9633,1,1
line,fusion_id,3,3,275,240,125,193,277,122,0.8,0.8,0.8,0.8,0.0267,0.534,0.5309,0.465,0.5976,0.3453,0,0.4106,0.4203,0.3576,0.4896,0.024,1,0.942,1.1782,1,1
line,fusion_id,3,3,232,257,110,292,209,125,0.8,0.8,0.8,0.8,0.06,0.4744,0.478,0.409,0.5491,0.53,0,0.5828,0.576,0.5034,0.6453,0.0427,1,1.048,0.8596,1,1
line,fusion_id,3,3,242,232,133,210,208,129,0.8,0.8,0.8,0.8,0.8993,0.5105,0.5096,0.438,0.5845,0.8153,0,0.5024,0.5029,0.4277,0.5791,0.9467,0,0.9838,0.997,1,1
line,fusion_id,3,3,228,261,121,206,209,122,0.8,0.8,0.8,0.8,0.568,0.4663,0.4694,0.405,0.5362,0.3547,0,0.4964,0.4962,0.4268,0.5667,0.9207,0,1.0659,1.0102,1,1
line,fusion_id,3,3,198,200,114,243,228,89,0.8,0.8,0.8,0.8,0.7733,0.4975,0.4976,0.4227,0.5731,0.9547,0,0.5159,0.5121,0.442,0.5823,0.72,0,1.008,0.9784,1,1
line,fusion_id,3,3,238,300,107,236,239,116,0.8,0.8,0.8,0.8,0.3087,0.4424,0.4486,0.3828,0.5191,0.1333,0,0.4968,0.4974,0.4243,0.5718,0.9407,0,1.1119,1.0081,1,1
line,fusion_id,3,3,241,221,123,245,254,129,0.8,0.8,0.8,0.8,0.5473,0.5216,0.5208,0.4502,0.5905,0.5587,0,0.491,0.4921,0.4235,0.5591,0.8053,0,0.9615,1.0183,1,1
line,fusion_id,3,3,237,235,93,201,275,154,0.8,0.8,0.8,0.8,0.134,0.5021,0.5032,0.4328,0.572,0.9273,0,0.4223,0.4245,0.3547,0.5025,0.0573,0,0.9962,1.1691,1,1
line,fusion_id,3,3,224,221,120,249,281,106,0.8,0.8,0.8,0.8,0.5807,0.5034,0.5035,0.4261,0.5799,0.932,0,0.4698,0.473,0.4006,0.5444,0.4653,0,0.9959,1.0587,1,1
line,fusion_id,3,3,258,182,116,243,263,121,0.8,0.8,0.8,0.8,0.0553,0.5864,0.5789,0.5077,0.6476,0.0253,1,0.4802,0.4823,0.4181,0.5483,0.5887,0,0.8544,1.0386,1,1
line,fusion_id,3,3,276,219,112,278,214,151,0.8,0.8,0.8,0.8,0.8887,0.5576,0.5509,0.4825,0.6172,0.1427,0,0.565,0.5592,0.4846,0.6294,0.122,0,0.9047,0.8898,1,1
line,fusion_id,3,3,246,281,132,209,231,123,0.8,0.8,0.8,0.8,0.8307,0.4668,0.4686,0.399,0.5407,0.3747,0,0.475,0.4783,0.4032,0.5519,0.552,0,1.068,1.0476,1,1
line,fusion_id,3,3,243,229,125,197,232,112,0.8,0.8,0.8,0.8,0.2613,0.5148,0.5136,0.4477,0.5799,0.682,0,0.4592,0.4627,0.3967,0.5296,0.2727,0,0.9753,1.0805,1,1
