comparison,FEATURE_ID,c1_num_reps,c2_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,H3_independence_Bayes_evidence,probofsameAI,g1_c1_sampleprop,g1_c1_theta,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_theta,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,alpha1_postmean,alpha2_postmean,sigma_alpha_mean,sigma_alpha_0.5,sigma_alpha_0.95,c1_flag_analyze,c2_flag_analyze
line,fusion_id,3,3,224,217,90,229,277,103,0.8,0.8,0.8,0.8,0.813333333333333,0.951643480272286,0.5079,0.4819,0.4266,0.5375,0.5027,0,0.4526,0.4787,0.4235,0.5352,0.4327,0,1.0386,1.0453,0.801638,0.67403,1.959137,1,1
line,fusion_id,3,3,218,221,99,251,269,117,0.8,0.8,0.8,0.8,0.962,0.950833058626958,0.4966,0.489,0.4413,0.5387,0.66,0,0.4827,0.4883,0.4411,0.5381,0.6373,0,1.0235,1.025,0.798467,0.686299,1.905664,1,1
line,fusion_id,3,3,184,225,100,237,231,113,0.8,0.8,0.8,0.8,0.805333333333333,0.952578476363596,0.4499,0.4788,0.4261,0.5318,0.418,0,0.5064,0.482,0.4307,0.5332,0.4807,0,1.0449,1.0382,0.809341,0.687468,2.011416,1,1
line,fusion_id,3,3,210,260,101,269,278,112,0.8,0.8,0.8,0.8,0.844666666666667,0.952206434056276,0.4468,0.4709,0.4206,0.5195,0.252,0,0.4918,0.4735,0.4235,0.522,0.2933,0,1.0616,1.056,0.803858,0.669741,1.966504,1,1
line,fusion_id,3,3,254,208,153,233,257,134,0.8,0.8,0.8,0.8,0.779333333333333,0.949243465608835,0.5498,0.5149,0.4573,0.5725,0.598,0,0.4755,0.5104,0.4514,0.5674,0.716,0,0.9722,0.9811,0.786292,0.6333,1.975396,1,1
line,fusion_id,3,3,286,212,115,281,203,122,0.8,0.8,0.8,0.8,0.974666666666667,0.95300926604291,0.5743,0.5759,0.5244,0.6258,0.008,1,0.5806,0.5764,0.5259,0.6256,0.0067,1,0.859,0.8581,0.793404,0.679622,1.932031,1,1
line,fusion_id,3,3,219,279,93,275,251,134,0.8,0.8,0.8,0.8,0.718666666666667,0.951109751512063,0.4398,0.4789,0.4256,0.5332,0.4327,0,0.5228,0.4848,0.4308,0.5428,0.5567,0,1.0449,1.0326,0.79993,0.651185,1.938913,1,1
line,fusion_id,3,3,233,257,103,258,295,135,0.8,0.8,0.8,0.8,0.968666666666667,0.952572187328719,0.4755,0.4728,0.4124,0.5366,0.3693,0,0.4665,0.4722,0.4107,0.5378,0.3727,0,1.0583,1.0597,0.812606,0.694431,1.967598,1,1
line,fusion_id,3,3,229,228,123,227,212,133,0.8,0.8,0.8,0.8,0.947333333333333,0.951184010332231,0.5011,0.5081,0.4563,0.5577,0.7547,0,0.5171,0.5095,0.457,0.561,0.7253,0,0.9853,0.9825,0.796303,0.66555,1.978537,1,1
line,fusion_id,3,3,233,242,105,235,282,114,0.8,0.8,0.8,0.8,0.85,0.952558523237703,0.4905,0.4762,0.421,0.5321,0.3907,0,0.4545,0.4738,0.4197,0.5299,0.3353,0,1.0505,1.0556,0.804961,0.694355,1.903389,1,1
